unique_id,data_id,description,x1,x2,y1,y2,type,showdesc,restriction,nlanes,yr_1999,yr_2010,backbone_rte,awdt_2010,peak_2010_6_to_7_am,peak_2010_7_to_8_am,peak_2010_8_to_9_am,peak_2010_9_to_10_am,peak_2010_3_to_4_pm,peak_2010_4_to_5_pm,peak_2010_5_to_6_pm,peak_2010_6_to_7_pm,cum_2010_6_to_9_am,cum_2010_3_to_6_pm
i90_eb_250,i90_eb_250,I-90 westbound between Interchange 11A on-ramp and the MPO boundary,10,110,100,100,main,0,none,3,1,1,i90_wb,49500,1100,1900,2200,2200,3800,4500,4800,3700,5200,13100
R11547,R11547,Interchange 11A |on-ramp from I-495,135,110,70,100,ramp_on_above,1,none,1,1,1,i90_wb,15000,300,500,800,800,1000,1300,1700,1100,1600,4000
i90_wb_240,i90_wb_240,I-90 westbound between Interchange 11A off-ramp and on-ramp,110,410,100,100,main,0,none,3,1,1,i90_wb,34500,800,1400,1400,1400,2800,3200,3100,2600,3600,9100
R11546,R11546,Interchange 11A |off-ramp to I-495,410,385,100,70,ramp_off_above,1,none,2,1,1,i90_wb,20000,600,1200,1200,900,1700,2100,2200,1800,3000,6000
i90_wb_230,i90_wb_230,I-90 westbound between Interchange 12 on-ramp and Interchange 11A off-ramp,410,610,100,100,main,0,none,3,1,1,i90_wb,54500,1400,2600,2600,2300,4500,5300,5300,4400,6600,15100
R11545,R11545,Interchagne 12 |on-ramp from SR-9,635,610,70,100,ramp_on_above,1,none,1,1,1,i90_wb,4500,100,200,200,200,400,600,900,700,500,1900
i90_wb_220,i90_wb_220,I-90 westbound between Interchange 12 on-ramp and off-ramp,610,910,100,100,main,0,none,3,1,1,i90_wb,50000,1300,2400,2400,2100,4100,4700,4400,3700,6100,13200
R11544,R11544,Interchange 12 |off-ramp to SR-9,910,885,100,70,ramp_off_above,1,none,1,1,1,i90_wb,12500,700,1200,1200,700,900,1200,1200,900,3100,3300
i90_wb_210,i90_wb_210,I-90 westbound between Interchange 13 on-ramp and Interchange 12 off-ramp,910,1110,100,100,main,0,none,3,1,1,i90_wb,62500,2000,3600,3600,2800,5000,5900,5600,4600,9200,16500
R50110,R50110,Interchange 13| on-ramp from SR-30,1135,1110,70,100,ramp_on_above,1,none,1,1,1,i90_wb,9500,100,300,300,300,600,900,1500,1200,700,3000
i90_wb_200,i90_wb_200,I-90 westbound between Interchange 13 off-ramp and on-ramp,1110,1410,100,100,main,0,none,3,1,1,i90_wb,53000,1900,3300,3300,2500,4400,5000,4100,3400,8500,13500
R50109,R50109,Interchange 13| off-ramp to SR-30,1410,1385,100,70,ramp_off_above,1,none,2,1,1,i90_wb,20000,900,1300,1700,1200,1400,1200,1400,1300,3900,4000
i90_wb_190,i90_wb_190,I-90 westbound between Interchange 14 on-rmap and Interchange 13 off-ramp,1410,1610,100,100,main,0,none,3,1,1,i90_wb,73000,2800,4600,5000,3700,5800,6200,5500,4750,12400,17500
