unique_id,n_delta_y,x1,x2,y1,y2,type,yr_2010,yr_1999
i93_nb_580_L2,2,60,60,10,110,main,1,1
i93_nb_580_L3,2,50,50,10,110,main,1,1
i93_nb_580_L4,2,40,40,10,110,main,1,1
i93_nb_580_L5,2,30,30,10,110,main,1,1
i93_nb_570_L2,1,60,60,110,160,main,1,1
i93_nb_570_L3,1,50,50,110,160,main,1,1
i93_nb_570_L4,1,40,40,110,160,main,1,1
i93_nb_570_L5,1,30,30,110,160,main,1,1
i93_nb_1999_570_to_580_L2,1,60,60,10,160,main,0,1
i93_nb_1999_570_to_580_L3,1,50,50,10,160,main,0,1
i93_nb_1999_570_to_580_L4,1,40,40,10,160,main,0,1
i93_nb_1999_570_to_580_L5,1,30,30,10,160,main,0,1
i93_nb_560_L2,3,60,60,160,310,main,1,1
i93_nb_560_L3,3,50,50,160,310,main,1,1
i93_nb_560_L4,3,40,40,160,310,main,1,1
i93_nb_560_L5,3,30,30,160,310,main,1,1
i93_nb_550_L2,2,60,60,310,410,main,1,1
i93_nb_550_L3,2,50,50,310,410,main,1,1
i93_nb_550_L4,2,40,40,310,410,main,1,1
i93_nb_550_L5,2,30,30,310,410,main,1,1
i93_nb_540_L2,3,60,60,410,560,main,1,1
i93_nb_540_L3,3,50,50,410,560,main,1,1
i93_nb_540_L4,3,40,40,410,560,main,1,1
i93_nb_540_L5,3,30,30,410,560,main,1,1
i93_nb_530_L2,2,60,60,560,660,main,1,1
i93_nb_530_L3,2,50,50,560,660,main,1,1
i93_nb_530_L4,2,40,40,560,660,main,1,1
i93_nb_530_L5,2,30,30,560,660,main,1,1
i93_nb_520_L2,3,60,60,660,810,main,1,1
i93_nb_520_L3,3,50,50,660,810,main,1,1
i93_nb_520_L4,3,40,40,660,810,main,1,1
i93_nb_520_L5,3,30,30,660,810,main,1,1
i93_nb_510_L2,2,60,60,810,910,main,1,1
i93_nb_510_L3,2,50,50,810,910,main,1,1
