unique_id,n_delta_y,x1,x2,y1,y2,type,yr_2010,yr_1999
i93_sb_180_L8,1,80,80,10,200,main,1,1
i93_sb_180_L7,1,70,70,10,200,main,1,1
i93_sb_180_L6,1,60,60,10,200,main,1,1
i93_sb_180_L5,1,50,50,10,200,main,1,1
R12244,1,50,40,200,250,ramp_off_left,1,1
i93_sb_190_L8,3,80,80,200,350,main,1,1
i93_sb_190_L7,3,70,70,200,350,main,1,1
i93_sb_190_L6,3,60,60,200,350,main,1,1
i93_sb_190_L5,3,50,50,200,350,main,1,1
R12245,1,40,50,300,350,ramp_on_left,1,1
i93_sb_200_L8,2,80,80,350,450,main,1,1
i93_sb_200_L7,2,70,70,350,450,main,1,1
i93_sb_200_L6,2,60,60,350,450,main,1,1
i93_sb_200_L5,2,50,50,350,450,main,1,1
R12246,1,50,40,450,500,ramp_off_left,1,1
i93_sb_210_L8,3,80,80,450,600,main,1,1
i93_sb_210_L7,3,70,70,450,600,main,1,1
i93_sb_210_L6,3,60,60,450,600,main,1,1
i93_sb_210_L5,3,50,50,450,600,main,1,1
R12247,1,40,50,550,600,ramp_on_left,1,1
i93_sb_220_L8,2,80,80,600,700,main,1,1
i93_sb_220_L7,2,70,70,600,700,main,1,1
i93_sb_220_L6,2,60,60,600,700,main,1,1
i93_sb_220_L5,2,50,50,600,700,main,1,1
R12248,1,50,40,700,750,ramp_off_left,1,1
i93_sb_230_L8,3,80,80,700,850,main,1,1
i93_sb_230_L7,3,70,70,700,850,main,1,1
i93_sb_230_L6,3,60,60,700,850,main,1,1
i93_sb_230_L5,3,50,50,700,850,main,1,1
R12249,1,40,50,800,850,ramp_on_left,1,1
i93_sb_240_L8,2,80,80,850,950,main,1,1
i93_sb_240_L7,2,70,70,850,950,main,1,1
i93_sb_240_L6,2,60,60,850,950,main,1,1
i93_sb_240_L5,2,50,50,850,950,main,1,1
R12250,1,50,40,950,1000,ramp_off_left,1,1
i93_sb_250_L8,3,80,80,950,1100,main,1,1
i93_sb_250_L7,3,70,70,950,1100,main,1,1
i93_sb_250_L6,3,60,60,950,1100,main,1,1
i93_sb_250_L5,3,50,50,950,1100,main,1,1
R12251,1,40,50,1050,1100,ramp_on_left,1,1
i93_sb_260_L8,2,80,80,1100,1200,main,1,0
i93_sb_260_L7,2,70,70,1100,1200,main,1,0
i93_sb_260_L6,2,60,60,1100,1200,main,1,0
i93_sb_260_L5,2,50,50,1100,1200,main,1,0
R12252,1,50,40,1200,1250,ramp_off_left,1,0
i93_sb_270_L8,3,80,80,1200,1350,main,1,0
i93_sb_270_L7,3,70,70,1200,1350,main,1,0
i93_sb_270_L6,3,60,60,1200,1350,main,1,0
i93_sb_270_L5,3,50,50,1200,1350,main,1,0
R12253,1,40,50,1300,1350,ramp_on_left,1,0
i93_sb_280_L8,2,80,80,1350,1450,main,1,0
i93_sb_280_L7,2,70,70,1350,1450,main,1,0
i93_sb_280_L6,2,60,60,1350,1450,main,1,0
i93_sb_280_L5,2,50,50,1350,1450,main,1,0
i93_sb_1999_260_to_280_L8,1,80,80,1100,1450,main,0,1
i93_sb_1999_260_to_280_L7,1,70,70,1100,1450,main,0,1
i93_sb_1999_260_to_280_L6,1,60,60,1100,1450,main,0,1
i93_sb_1999_260_to_280_L5,1,50,50,1100,1450,main,0,1
R12175,1,50,40,1450,1500,ramp_off_left,1,1
i93_sb_290_L8,3,80,80,1450,1600,main,1,1
i93_sb_290_L7,3,70,70,1450,1600,main,1,1
i93_sb_290_L6,3,60,60,1450,1600,main,1,1
i93_sb_290_L5,3,50,50,1450,1600,main,1,1
R12740,1,40,50,1550,1600,ramp_on_left,1,1
i93_sb_300_L8,2,80,80,1600,1700,main,1,1
i93_sb_300_L7,2,70,70,1600,1700,main,1,1
i93_sb_300_L6,2,60,60,1600,1700,main,1,1
i93_sb_300_L5,2,50,50,1600,1700,main,1,1
R12176,1,50,40,1700,1750,ramp_off_left,1,1
i93_sb_310_L8,3,80,80,1700,1850,main,1,1
i93_sb_310_L7,3,70,70,1700,1850,main,1,1
i93_sb_310_L6,3,60,60,1700,1850,main,1,1
i93_sb_310_L5,3,50,50,1700,1850,main,1,1
R12697,1,40,50,1800,1850,ramp_on_left,1,1
i93_sb_320_L8,2,80,80,1850,1950,main,1,1
