unique_id,coord,town_before,town_after
boundary_i93_sb_180,60,Tewksbury,Wilmington
boundary_i93_sb_260,1150,Wilmington,Woburn
boundary_i93_sb_280,1400,Woburn,Reading
boundary_i93_sb_310,1775,Reading,Stoneham
boundary_i93_sb_320,1900,Stoneham,Woburn
boundary_i93_sb_350,2250,Woburn,Stoneham
boundary_i93_sb_370,2500,Stoneham,Medford
boundary_i93_sb_440,3300,Medford,Somerville
boundary_i93_sb_470,3675,Somerville,Boston
boundary_i93_sb_730,7275,Boston,Quincy
boundary_sr3_sb_010,7850,Quincy,Braintree
boundary_sr3_sb_060,8450,Braintree,Weymouth
boundary_sr3_sb_100,8950,Weymouth,Hingham
boundary_sr3_sb_120,9200,Hingham,Rockland/Norwell
boundary_sr3_sb_140,9450,Rockland/Norwell,Hanover/Norwell
boundary_sr3_sb_160,9700,Hanover/Norwell,Pembroke
