unique_id,data_id,description,x1,x2,y1,y2,type,showdesc,restriction,nlanes,yr_1999,yr_2010,yr_2018,backbone_rte,awdt_2010,peak_2010_6_to_7_am,peak_2010_7_to_8_am,peak_2010_8_to_9_am,peak_2010_9_to_10_am,peak_2010_3_to_4_pm,peak_2010_4_to_5_pm,peak_2010_5_to_6_pm,peak_2010_6_to_7_pm,cum_2010_6_to_9_am,cum_2010_3_to_6_pm,awdt_2018,peak_2018_6_to_7_am,peak_2018_7_to_8_am,peak_2018_8_to_9_am,peak_2018_9_to_10_am,peak_2018_3_to_4_pm,peak_2018_4_to_5_pm,peak_2018_5_to_6_pm,peak_2018_6_to_7_pm,cum_2018_6_to_9_am,cum_2018_3_to_6_pm,awdt_1999
i93_sb_180,i93_sb_180,I-93 southbound | north of Interchange 41 off-ramp,150,150,10,200,main,0,none,4,1,1,1,i93_sr3_sb,77000,7400,7000,6300,4900,4500,4750,5200,4000,20700,14450,88000,6500,6500,6300,5700,4800,5400,5500,4600,19300,15700,77000
i93_sb_190,i93_sb_190,I-93 southbound | between Interchange 41 off- and on-ramps,150,150,200,350,main,0,none,4,1,1,1,i93_sr3_sb,72000,6900,6400,5700,4500,4250,4450,4900,3850,19000,13600,82500,5900,6000,5600,5400,4550,5100,5150,4450,17500,14800,71500
i93_sb_200,i93_sb_200,I-93 southbound | betwen Interchange 41 on-ramp and Interchange 40 off-ramp,150,150,350,450,main,0,none,4,1,1,1,i93_sr3_sb,82500,7650,7300,6600,5200,4900,5200,5750,4400,21550,15850,93000,6600,7100,6700,6200,5300,5900,6000,5100,20400,17200,82000
i93_sb_210,i93_sb_210,I-93 southbound | between Interchange 40 off- and on-ramps,150,150,450,600,main,0,none,4,1,1,1,i93_sr3_sb,78000,7400,7000,6300,4950,4600,4850,5350,4150,20700,14800,88500,6400,6850,6450,5950,4800,5450,5600,4750,19700,15850,77000
i93_sb_220,i93_sb_220,I-93 southbound | between Interchange 40 on-ramp and Interchange 39 off-ramp,150,150,600,700,main,0,none,4,1,1,1,i93_sr3_sb,85000,8050,7750,7000,5450,4900,5150,5650,4450,22800,15700,95000,7100,7700,7300,6500,5000,5700,5900,5000,22100,16600,83000
i93_sb_230,i93_sb_230,I-93 southbound | between Interchange 39 off- and on-ramps,150,150,700,850,main,0,none,4,1,1,1,i93_sr3_sb,81500,7700,7300,6500,5150,4750,4950,5450,4300,21500,15150,91000,6850,7200,6750,6050,4750,5450,4600,4800,20800,14800,78500
i93_sb_240,i93_sb_240,I-93 southbound | between Interchange 39 off- and on-ramps,150,150,850,950,main,0,none,4,1,1,1,i93_sr3_sb,90000,8200,7950,7200,5650,5200,5450,6100,4750,23350,16750,97000,7250,7700,7450,6650,5050,5750,6200,5200,22400,17000,87000
i93_sb_250,i93_sb_250,I-93 southbound | between Interchange 38 off- and on-ramps,150,150,950,1100,main,0,none,4,1,1,1,i93_sr3_sb,83000,7600,7300,6600,5200,4700,4950,5600,4350,21500,15250,89000,6850,7300,6900,6250,4450,5150,5500,4700,21050,15100,79500
i93_sb_260,i93_sb_260,I-93 southbound | between Interchange 38 on-ramp and Interchange 37C off-ramp,150,150,1100,1200,main,0,none,4,1,1,1,i93_sr3_sb,90000,8100,7900,7200,5600,5200,5500,6200,4800,23200,16900,98000,7500,8100,7600,6800,4900,5550,6150,5050,23200,16600,-9999
R12244,R12244,Interchange 41 | Off-ramp to SR 125,150,130,200,250,ramp_off_left,1,none,1,1,1,1,i93_sr3_sb,5000,500,600,600,400,250,300,300,150,1700,850,5500,600,500,700,300,250,300,350,150,1800,900,5500
